XCoord,YCoord,FID,ID,UNIQUEID,ADDRESS,SUFFIX,STREET,ONSTR,FROMSTR,TOSTR,SIDE,SITE,SPP,DBH,CULTIVAR,CONDITION,INSPECT,MT,MT2,TTYPE,MEMTREE,DISEASEDEF,STRUTDEFEC,LOCTYPE,SITECAT,HOOD,LOCATION,JURISDIC,TSIP,GRATESZ,GUARDSZ,INV_DATE,INV_TIME,INSPECT_DT,INSPECT_TM,NOTES,ACTIVE,COMMONNAME
3066895.58110000,1255948.04970000,0,38718.000000,JS 20141121103416,2631, ,IRIS AV,IRIS AV,IRIS WALK CT,28TH ST,N/A,26,Populus hybrid,3.000000, ,Excellent,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Turf,Park,Elmer's Two Mile,Unassigned,N,Unassigned,Unassigned,2014-11-21 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Hybrid Cottonwood
3062701.61810000,1263032.45840000,1,43007.000000,CC 20141212102230,4501, ,19TH ST,19TH ST,AVOCADO RD,VIOLET AV,N/A,33,Ulmus pumila,15.000000, ,Fair,N,Safety Prune,Priority 3,Deciduous,No,N/A,N/A,Park,Natural Area,Park,Violet Park,Unassigned,N,Unassigned,Unassigned,2014-12-12 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Siberian Elm
3059594.31740000,1262647.40940000,2,38080.000000,JS 20141118110227,1001,X,CHERRY AV,CHERRY AV,7TH ST,10TH ST,N/A,127,Gleditsia triacanthos,4.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Turf,Park,Foothills Community Park,Unassigned,N,Unassigned,Unassigned,2014-11-18 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Common Honeylocust
3060579.01090000,1245955.21540000,3,39118.000000,JS 20141125111954,1201, ,9TH ST,9TH ST,PLEASANT ST,COLLEGE AV,N/A,78,Fraxinus pennsylvanica,31.000000, ,Fair,Y,Safety Prune,Routine,Deciduous,No,N/A,deadwood,Park,Turf,Park,Columbia Cemetery,Unassigned,N,Unassigned,Unassigned,2014-11-25 00:00:00, ,2015-07-10 00:00:00,11:30:46,deadwood in crown maybe EAB,1.000000,Green Ash
3068894.56190000,1247882.59570000,4,39917.000000,AC 20141201133210,1505, ,30TH ST,30TH ST,ARAPAHOE  AV,SHADOW CREEK DR,N/A,6,Pyrus spp.,3.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,trunk wounds,Park,Shrub /Mulch bed,Park,Scott Carpenter Park,Unassigned,N,Unassigned,Unassigned,2014-12-01 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Pear species
3060904.69890000,1246305.29540000,5,39045.000000,JS 20141124162539,1201, ,9TH ST,9TH ST,PLEASANT ST,COLLEGE AV,N/A,5,Fraxinus pennsylvanica,22.000000, ,Fair,N,Safety Prune,Routine,Deciduous,No,N/A,deadwood,Park,Turf,Park,Columbia Cemetery,Unassigned,N,Unassigned,Unassigned,2014-11-24 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Green Ash
3079011.89630000,1246501.42090000,6,48796.000000,SR 20150101115050,5710, ,ARAPAHOE AV,ARAPAHOE AV,55TH ST,OLD TALE RD,N/A,1168,Gleditsia triacanthos,20.000000, ,Good,N,Safety Prune,Priority 3,Deciduous,No,N/A,deadwood,Park,Turf,Park,Flatirons Golf Course,Unassigned,N,Unassigned,Unassigned,2015-01-01 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Common Honeylocust
3070192.42440000,1232357.86410000,7,42229.000000,JS 20141205153622,1500,X,GILLASPIE DR,GILLASPIE DR,GREENBRIAR BV,GRINNELL AV,N/A,262,Populus species,11.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Natural Area,Park,Harlow Platts Park/South Boulder Rec Center,Unassigned,N,Unassigned,Unassigned,2014-12-05 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Native Cottonwood
3057075.47600000,1247724.02680000,8,40707.000000,CC 20141202093041,101, ,ARAPAHOE  AV,ARAPAHOE  AV,6TH ST,CANYON BV,N/A,83,Acer negundo,17.000000, ,Very Poor,N,Remove,Priority 3,Deciduous,No,N/A,trunk decay,Park,Natural Area,Park,Eben G Fine Park,Unassigned,N,Unassigned,Unassigned,2014-12-02 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Boxelder
3066288.36610000,1235081.63000000,9,41950.000000,JS 20141204154808,1095, ,LEHIGH ST,LEHIGH ST,TABLE MESA DR,BEAR MOUNTAIN DR,N/A,72,Populus species,12.000000, ,Fair,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Natural Area,Park,Bear Creek Park,Unassigned,N,Unassigned,Unassigned,2014-12-04 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Native Cottonwood
3066898.29370000,1255408.73000000,10,38770.000000,JS 20141121121253,2631, ,IRIS AV,IRIS AV,IRIS WALK CT,28TH ST,N/A,78,Populus species,10.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Natural Area,Park,Elmer's Two Mile,Unassigned,N,Unassigned,Unassigned,2014-11-21 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Native Cottonwood
3058250.37960000,1260495.31310000,11,38481.000000,JS 20141119162739,301,X,POPLAR AV,POPLAR AV,QUINCE CR,PROMINTORY CT,N/A,118,Populus species,17.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Natural Area,Park,Wonderland Lake Park,Unassigned,N,Unassigned,Unassigned,2014-11-19 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Native Cottonwood
